col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
36,Lotus Boutique,$$,"[""Women's Clothing"", 'Accessories']",The Summit,(205) 972-4998,/biz/lotus-boutique-birmingham?osq=shopping,Mountain Brook,AL,35210,,
36,Lotus Boutique,$$,"[""Women's Clothing"", 'Accessories']",The Summit,(205) 972-4998,/biz/the-summit-birmingham,Mountain Brook,AL,35210,,
37,Leaf & Petal,$$,"['Nurseries & Gardening', 'Home Decor']",2817 Cahaba Rd,"Birmingham, AL 35223",(205) 871-3832,/biz/leaf-and-petal-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
38,Black Sheep Kitchen,$$,['Grocery'],81 Church St,"Mountain Brook, AL 35213",(205) 290-5007,/biz/black-sheep-kitchen-mountain-brook?osq=shopping,Mountain Brook,AL,35210,
39,Birmingham Oddities,$$,['Antiques'],,2300 1st Ave N,"Birmingham, AL 35203",/biz/birmingham-oddities-birmingham?osq=shopping,Mountain Brook,AL,35210,
40,Burlington Coat Factory,$$,['Department Stores'],7001 Crestwood Blvd,"Birmingham, AL 35210",(205) 595-0511,/biz/burlington-coat-factory-birmingham?osq=shopping,Mountain Brook,AL,35210,
40,Burlington Coat Factory,$$,['Department Stores'],7001 Crestwood Blvd,"Birmingham, AL 35210",(205) 595-0511,/biz/baby-depot-birmingham-2,Mountain Brook,AL,35210,
41,Belk,$$,"[""Men's Clothing"", ""Women's Clothing"", 'Shoe Stores']",['(205) 655-2694'],(205) 655-2694,5000 Pinnacle Sq,/biz/belk-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
42,T J Maxx,$$,['Department Stores'],['(205) 981-9364'],(205) 981-9364,5025 Highway 280,/biz/t-j-maxx-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
43,Fifth Avenue Antiques,$$,['Antiques'],['(205) 320-0500'],(205) 320-0500,2410 5th Ave S,/biz/fifth-avenue-antiques-birmingham?osq=shopping,Mountain Brook,AL,35210,
44,Walmart Neighborhood Market,$$,['Department Stores'],['(205) 520-0269'],(205) 520-0269,1916 Center Point Pkwy,/biz/walmart-neighborhood-market-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
45,Stein Mart,$$,"[""Women's Clothing"", 'Department Stores', 'Home Decor']",['(205) 823-0686'],(205) 823-0686,664 Montgomery Highway,/biz/stein-mart-vestavia-hills?osq=shopping,Mountain Brook,AL,35210,
46,JCPenney,$$,"[""Women's Clothing"", 'Department Stores', ""Children's Clothing""]",['(205) 655-5891'],(205) 655-5891,5060 Pinnacle Sq,/biz/jcpenney-trussville?osq=shopping,Mountain Brook,AL,35210,
47,At Home,$$,"['Furniture Stores', 'Home Decor', 'Kitchen & Bath']",['(205) 508-6028'],(205) 508-6028,5036 Pinnacle Sq,/biz/at-home-trussville?osq=shopping,Mountain Brook,AL,35210,
48,Z Gallerie,$$,"['Furniture Stores', 'Home Decor']",['(205) 879-1722'],(205) 879-1722,610 Brookwood Village,/biz/z-gallerie-birmingham?osq=shopping,Mountain Brook,AL,35210,
49,The Pink Tulip - Homewood,$$,"['Accessories', ""Women's Clothing""]",['(205) 637-0710'],(205) 637-0710,2848 18th St S,/biz/the-pink-tulip-homewood-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
50,A’mano,$$,"['Home Decor', 'Jewelry', 'Gift Shops']",['(205) 871-9093'],(205) 871-9093,281 Rele St,/biz/amano-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
51,Bass Pro Shops-Tracker Marine,$$,['Fashion'],['(205) 702-7500'],(205) 702-7500,5000 Bass Pro Blvd,/biz/bass-pro-shops-tracker-marine-leeds?osq=shopping,Mountain Brook,AL,35210,
52,Piggly Wiggly,$$,"['Grocery', 'Beer, Wine & Spirits']",['(205) 252-0684'],(205) 252-0684,3314 Clairmont Ave S,/biz/piggly-wiggly-birmingham-9?osq=shopping,Mountain Brook,AL,35210,
53,Walmart Supercenter,$$,"['Department Stores', 'Grocery']",['(205) 661-1957'],(205) 661-1957,5919 Trussville Crossings Pkwy,/biz/walmart-supercenter-birmingham?osq=shopping,Mountain Brook,AL,35210,
53,Walmart Supercenter,$$,"['Department Stores', 'Grocery']",['(205) 661-1957'],(205) 661-1957,5919 Trussville Crossings Pkwy,/biz/smartstyle-birmingham-4,Mountain Brook,AL,35210,
54,Alabama Outdoors,$$,['Outdoor Gear'],['(205) 870-1919'],(205) 870-1919,3054 Independence Dr,/biz/alabama-outdoors-homewood?osq=shopping,Mountain Brook,AL,35210,
55,Homewood Antiques and Marketplace,$$,"['Antiques', 'Florists']",['(205) 414-9945'],(205) 414-9945,930 Oxmoor Rd,/biz/homewood-antiques-and-marketplace-homewood?osq=shopping,Mountain Brook,AL,35210,
56,Floor & Decor,$$,"['Home Decor', 'Kitchen & Bath']",['(205) 909-3054'],(205) 909-3054,230 Green Springs Hwy,/biz/floor-and-decor-homewood?osq=shopping,Mountain Brook,AL,35210,
57,On-A-Shoestring,$$,['Antiques'],['(205) 822-8741'],(205) 822-8741,601 Shades Crest Rd,/biz/on-a-shoestring-birmingham?osq=shopping,Mountain Brook,AL,35210,
58,TJ Maxx,$$,"[""Women's Clothing"", ""Men's Clothing"", 'Accessories']",['(205) 631-9039'],(205) 631-9039,655 Fieldstown Rd,/biz/tj-maxx-gardendale-2?osq=shopping,Mountain Brook,AL,35210,
59,Banana Republic,$$,"['Outlet Stores', ""Men's Clothing"", ""Women's Clothing""]",['(205) 699-7870'],(205) 699-7870,6200 Grand River Blvd E,/biz/banana-republic-leeds?osq=shopping,Mountain Brook,AL,35210,
60,K&G Fashion Superstore,$$,"[""Men's Clothing"", ""Women's Clothing"", 'Formal Wear']",['(205) 941-0580'],(205) 941-0580,243 Lakeshore Pkwy,/biz/k-and-g-fashion-superstore-homewood-2?osq=shopping,Mountain Brook,AL,35210,
1,The Summit,$$$,['Shopping Centers'],214 Summit Blvd,"Birmingham, AL 35243",(205) 967-0111,/biz/the-summit-birmingham?osq=shopping,Mountain Brook,AL,35210,
2,Levy’s Fine Jewelry,$$$,"['Jewelry', 'Watches', 'Jewelry Repair']",2116 2nd Ave N,"Birmingham, AL 35203",(205) 251-3381,/biz/levys-fine-jewelry-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
3,Von Maur,$$$,"[""Men's Clothing"", ""Women's Clothing"", ""Children's Clothing""]",2400 Riverchase Galleria,"Hoover, AL 35244",(205) 982-4337,/biz/von-maur-hoover?osq=shopping,Mountain Brook,AL,35210,
4,Fleet Feet,$$$,"['Sports Wear', 'Shoe Stores']",3060 Healthy Way,"Birmingham, AL 36106",(205) 970-6620,/biz/fleet-feet-birmingham?osq=shopping,Mountain Brook,AL,35210,
5,Mountain High Outfitters,$$$,"['Shoe Stores', 'Outdoor Gear']",2800 Cahaba Village Plz,"Birmingham, AL 35243",(205) 970-3300,/biz/mountain-high-outfitters-birmingham?osq=shopping,Mountain Brook,AL,35210,
6,Southeastern Salvage,$$$,"['Home Decor', 'Kitchen & Bath', 'Furniture Stores']",5421 Beacon Dr,"Irondale, AL 35210",(205) 956-1000,/biz/southeastern-salvage-irondale?osq=shopping,Mountain Brook,AL,35210,
7,Soca Clothing,$$$,"['Accessories', ""Women's Clothing""]",2824 18th St S,"Birmingham, AL 35209",(205) 879-6788,/biz/soca-clothing-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
8,Urban Outfitters,$$$,"[""Women's Clothing"", ""Men's Clothing"", 'Home Decor']",320 Summit Blvd,"Birmingham, AL 35243",(205) 262-2976,/biz/urban-outfitters-birmingham?osq=shopping,Mountain Brook,AL,35210,
9,Urban Suburban,$$$,"['Antiques', 'Home Decor', 'Jewelry']",5514 Crestwood Blvd,"Birmingham, AL 35212",(205) 592-0777,/biz/urban-suburban-birmingham?osq=shopping,Mountain Brook,AL,35210,
10,Naked Art,$$$,['Art Galleries'],3831 Clairmont Ave S,"Birmingham, AL 35222",(205) 595-3553,/biz/naked-art-birmingham?osq=shopping,Mountain Brook,AL,35210,
11,Paper Source,$$$,"['Cards & Stationery', 'Gift Shops', 'Art Supplies']",214 Summit Blvd,"Birmingham, AL 35243",(205) 815-6385,/biz/paper-source-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
12,Gus Mayer,$$$,"[""Women's Clothing"", 'Accessories']",225 Summit Blvd,"Birmingham, AL 35243",(205) 870-3300,/biz/gus-mayer-birmingham?osq=shopping,Mountain Brook,AL,35210,
13,Anthropologie,$$$,"['Accessories', ""Women's Clothing""]",200 Summit Blvd,"Birmingham, AL 35243",(205) 298-9929,/biz/anthropologie-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
14,Ivory & White,$$$,['Bridal'],55 Church St,"Birmingham, AL 35213",(205) 871-2888,/biz/ivory-and-white-birmingham?osq=shopping,Mountain Brook,AL,35210,
15,The Pink Tulip - Cahaba Village,$$$,"[""Women's Clothing""]",2800 Cahaba Village Hwy 280,"Mountain Brook, AL 35243",(205) 637-5390,/biz/the-pink-tulip-cahaba-village-mountain-brook?osq=shopping,Mountain Brook,AL,35210,
16,Urban Home Market,$$$,"['Furniture Stores', 'Home Decor']",1001 Doug Baker Blvd,"Birmingham, AL 35242",(205) 980-4663,/biz/urban-home-market-birmingham?osq=shopping,Mountain Brook,AL,35210,
17,Michael Kors,$$$,"['Accessories', ""Men's Clothing"", ""Women's Clothing""]",220 Summit Blvd,"Birmingham, AL 35243",(205) 968-5687,/biz/michael-kors-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
18,Sikes Children’s Shoes,$$$,"['Shoe Stores', 'Baby Gear & Furniture', ""Children's Clothing""]",2920 S 18th St,"Homewood, AL 35209",(205) 879-3433,/biz/sikes-childrens-shoes-homewood?osq=shopping,Mountain Brook,AL,35210,
19,Coach,$$$,"['Accessories', ""Men's Clothing"", ""Women's Clothing""]",6200 Grand River Blvd E,"Leeds, AL 35094",(205) 699-6579,/biz/coach-leeds?osq=shopping,Mountain Brook,AL,35210,
20,Athleta,$$$,"[""Women's Clothing"", 'Sports Wear', 'Swimwear']",225 Summit Blvd,"Birmingham, AL 35243",(205) 298-8812,/biz/athleta-birmingham?osq=shopping,Mountain Brook,AL,35210,
21,Hoover Florist,$$$,"['Florists', ""Women's Clothing"", 'Floral Designers']",['(205) 823-5273'],(205) 823-5273,1905 Hoover Ct,/biz/hoover-florist-birmingham?osq=shopping,Mountain Brook,AL,35210,
22,Mountain High Outfitters,$$$,"['Shoe Stores', 'Outdoor Gear']",['(205) 298-7890'],(205) 298-7890,127 Summit Blvd,/biz/mountain-high-outfitters-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
23,At Home Furnishings,$$$,['Furniture Stores'],['(205) 879-3510'],(205) 879-3510,2921 18th St S,/biz/at-home-furnishings-birmingham?osq=shopping,Mountain Brook,AL,35210,
24,Clairmont Chevron,$$$,['Convenience Stores'],['(205) 933-2342'],(205) 933-2342,2901 Clairmont Ave S,/biz/clairmont-chevron-birmingham?osq=shopping,Mountain Brook,AL,35210,
25,Mission Possible Bargain Center,$$$,['Thrift Stores'],['(205) 956-5658'],(205) 956-5658,1569 Cooper Hill Rd,/biz/mission-possible-bargain-center-birmingham?osq=shopping,Mountain Brook,AL,35210,
26,west elm,$$$,"['Furniture Stores', 'Home Decor']",['(205) 968-7651'],(205) 968-7651,320 Summit Blvd,/biz/west-elm-vestavia?osq=shopping,Mountain Brook,AL,35210,
27,Molly Green,$$$,"[""Women's Clothing"", 'Jewelry', 'Accessories']",['(205) 969-5883'],(205) 969-5883,310 Summit Blvd,/biz/molly-green-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
28,Mia Moda Boutique,$$$,"['Accessories', ""Women's Clothing"", 'Shoe Stores']",['(205) 824-9441'],(205) 824-9441,1425 Montgomery Hwy,/biz/mia-moda-boutique-vestavia-hills-2?osq=shopping,Mountain Brook,AL,35210,
29,Canary Gallery,$$$,"['Venues & Event Spaces', 'Art Galleries']",['(205) 224-5300'],(205) 224-5300,2201 2nd Ave N,/biz/canary-gallery-birmingham?osq=shopping,Mountain Brook,AL,35210,
31,New Balance Birmingham,$$$,['Shoe Stores'],4618 U S 280,"Birmingham, AL 35242",(205) 991-4446,/biz/new-balance-birmingham-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
32,Bella Bridesmaids,$$$,['Bridal'],104 Broadway St,"Birmingham, AL 35209",(205) 942-6444,/biz/bella-bridesmaids-birmingham?osq=shopping,Mountain Brook,AL,35210,
33,build a bear workshop,£££,['Toy Stores'],level 1,Birmingham B5,United Kingdom,/biz/build-a-bear-workshop-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
34,Boot Barn,$$$,"['Shoe Stores', ""Men's Clothing"", ""Women's Clothing""]",1905 Edwards Lake Rd,"Birmingham, AL 35235",(205) 661-0310,/biz/boot-barn-birmingham?osq=shopping,Mountain Brook,AL,35210,
35,Mountain High Outfitters,$$$,"['Shoe Stores', 'Outdoor Gear', 'Accessories']",6200 Grand River Blvd E,"Leeds, AL 35094",(205) 699-8264,/biz/mountain-high-outfitters-leeds?osq=shopping,Mountain Brook,AL,35210,
36,Trussville Antique Mall,$$$,['Antiques'],147 N Chalkville Rd,"Trussville, AL 35173",(205) 661-9805,/biz/trussville-antique-mall-trussville?osq=shopping,Mountain Brook,AL,35210,
37,Sleep Number,$$$,"['Home Decor', 'Furniture Stores', 'Mattresses']",4618 Hwy 280,"Birmingham, AL 35242",(205) 981-3006,/biz/sleep-number-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
38,Wee Peat Boutique,$$$,"[""Women's Clothing""]",5479 Hwy 280,"Birmingham, AL 35242",(205) 874-6655,/biz/wee-peat-boutique-birmingham?osq=shopping,Mountain Brook,AL,35210,
39,Learning Express Toys,$$$,['Toy Stores'],3132 Heights Village,"Cahaba Heights, AL 35243",(205) 970-9710,/biz/learning-express-toys-cahaba-heights?osq=shopping,Mountain Brook,AL,35210,
40,Pottery Barn,$$$,"['Furniture Stores', 'Home Decor']",300 Summit Blvd,"Vestavia, AL 35243",(205) 298-0373,/biz/pottery-barn-vestavia?osq=shopping,Mountain Brook,AL,35210,
41,Whole Foods Market,$$$,['Grocery'],3780 Riverchase Village,"Hoover, AL 35244",(205) 730-2680,/biz/whole-foods-market-hoover?osq=shopping,Mountain Brook,AL,35210,
42,Mountain High Outfitters,$$$,"['Shoe Stores', 'Outdoor Gear']",2000-147A Riverchase Galleria,"Birmingham, AL 35244",(205) 985-3215,/biz/mountain-high-outfitters-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
43,Hudson News,$$$,['Newspapers & Magazines'],5900 Messer Airport Hwy,"Birmingham, AL 35212",(205) 591-8402,/biz/hudson-news-birmingham?osq=shopping,Mountain Brook,AL,35210,
44,Men’s Wearhouse,$$$,"[""Men's Clothing"", 'Formal Wear', 'Bespoke Clothing']",3664 Galleria Cir,"Hoover, AL 35244",(205) 739-5961,/biz/mens-wearhouse-hoover-6?osq=shopping,Mountain Brook,AL,35210,
45,McMillian’s Big & Tall,$$$,"[""Men's Clothing""]",2000 Riverchase Galleria,"Hoover, AL 35244",(205) 985-3151,/biz/mcmillians-big-and-tall-hoover?osq=shopping,Mountain Brook,AL,35210,
46,Lovelady Thrift Store,$$$,['Thrift Stores'],2402 Old Springville Rd,"Birmingham, AL 35215",(205) 951-9230,/biz/lovelady-thrift-store-birmingham?osq=shopping,Mountain Brook,AL,35210,
47,GameStop,$$$,['Videos & Video Game Rental'],437 Green Springs Hwy,"Homewood, AL 35209",(205) 942-0900,/biz/gamestop-homewood-2?osq=shopping,Mountain Brook,AL,35210,
48,Stampede,$$$,['Shoe Stores'],1615 Montgomery Hwy,"Birmingham, AL 35216",(205) 979-2770,/biz/stampede-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
49,Green Springs Shell,$$$,['Convenience Stores'],250 Green Springs Hwy,"Birmingham, AL 35209",(205) 942-8730,/biz/green-springs-shell-birmingham?osq=shopping,Mountain Brook,AL,35210,
50,Everything But Water,$$$,"[""Women's Clothing"", 'Swimwear', 'Accessories']",310 Summit Blvd,"Birmingham, AL 35243",(205) 298-8032,/biz/everything-but-water-birmingham?osq=shopping,Mountain Brook,AL,35210,
51,PGA TOUR Superstore,$$$,"['Golf Equipment', 'Sports Wear', 'Golf Lessons']",165 Inverness Plz,"Birmingham, AL 35242",(205) 440-4200,/biz/pga-tour-superstore-birmingham?osq=shopping,Mountain Brook,AL,35210,
52,Jared The Galleria of Jewelry,$$$,['Jewelry'],3460 Riverchase Galleria,"Birmingham, AL 35244",(205) 733-2171,/biz/jared-the-galleria-of-jewelry-birmingham?osq=shopping,Mountain Brook,AL,35210,
53,Hibbett Sports,$$$,"['Shoe Stores', 'Sporting Goods']",1615 Montgomery Hwy,"Hoover, AL 35216",(205) 823-7667,/biz/hibbett-sports-hoover?osq=shopping,Mountain Brook,AL,35210,
54,Food Giant,$$$,['Grocery'],1675 Center Point Pkwy,"Center Point, AL 35215",(205) 520-5525,/biz/food-giant-center-point?osq=shopping,Mountain Brook,AL,35210,
55,Victoria’s Secret,$$$,['Lingerie'],623 Brookwood Vlg,"Birmingham, AL 35209",(205) 871-4008,/biz/victorias-secret-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
56,Brookstone,$$$,"['Home & Garden', 'Electronics', 'Gift Shops']",2000 Riverchase Galleria,"Birmingham, AL 35244",(205) 985-0489,/biz/brookstone-birmingham?osq=shopping,Mountain Brook,AL,35210,
57,DXL,$$$,"[""Men's Clothing"", 'Shoe Stores', 'Accessories']",1723 Montgomery Hwy S,"Birmingham, AL 35244",(205) 733-8595,/biz/dxl-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
58,Monkee’s of Mountain Brook,$$$,"['Shoe Stores', ""Women's Clothing""]",2006 Cahaba Rd,"Mountain Brook, AL 35223",(205) 783-1240,/biz/monkees-of-mountain-brook-mountain-brook?osq=shopping,Mountain Brook,AL,35210,
59,Sugarboo & Co,$$$,"['Home Decor', 'Accessories', 'Gift Shops']",200 Summit Blvd,"Birmingham, AL 35243",(205) 970-4945,/biz/sugarboo-and-co-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
60,Mdm Design Studio,$$$,"['Home Decor', 'Cabinetry']",,Serving Birmingham and the Surrounding Area,(205) 266-3905,/biz/mdm-design-studio-birmingham?osq=shopping,Mountain Brook,AL,35210,
1,Diamonds Direct,$$$$,['Jewelry'],2800 Cahaba Village Plz,"Birmingham, AL 35243",(205) 201-7400,/biz/diamonds-direct-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
2,Saks Fifth Avenue,$$$$,"['Shoe Stores', ""Women's Clothing"", 'Accessories']",129 Summit Boulevard,"Birmingham, AL 35243",(205) 298-8550,/biz/saks-fifth-avenue-birmingham?osq=shopping,Mountain Brook,AL,35210,
3,Louis Vuitton Birmingham Saks,$$$$,['Leather Goods'],129 Summit Blvd,"Birmingham, AL 35243",(205) 969-6259,/biz/louis-vuitton-birmingham-saks-birmingham?osq=shopping,Mountain Brook,AL,35210,
4,lululemon athletica,$$$$,"['Yoga', 'Sports Wear', ""Women's Clothing""]",214 Summit Blvd,"Birmingham, AL 35243",(205) 803-2129,/biz/lululemon-athletica-birmingham?osq=shopping,Mountain Brook,AL,35210,
5,Bromberg’s,$$$$,"['Watches', 'Jewelry', 'Watch Repair']",2800 Cahaba Rd,"Mountain Brook, AL 35223",(205) 871-3276,/biz/brombergs-mountain-brook-4?osq=shopping,Mountain Brook,AL,35210,
6,Bromberg’s,$$$$,"['Jewelry', 'Watches', 'Engraving']",131 Summit Blvd,"Birmingham, AL 35243",(205) 969-1776,/biz/brombergs-birmingham-4?osq=shopping,Mountain Brook,AL,35210,
7,Brooks Brothers,$$$$,"[""Men's Clothing"", ""Women's Clothing""]",205 Summit Boulevard,"Birmingham, AL 35243",(205) 970-3977,/biz/brooks-brothers-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
8,Legion,$$$$,['Comic Books'],3248 Cahaba Heights Rd,"Birmingham, AL 35243",(205) 970-0999,/biz/legion-birmingham?osq=shopping,Mountain Brook,AL,35210,
9,Zales Jewelers,$$$$,"['Jewelry', 'Watches']",2000 Riverchase Galleria,"Birmingham, AL 35244",(205) 985-9815,/biz/zales-jewelers-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
10,Kay Jewelers,$$$$,['Jewelry'],3000 Riverchase Galleria,"Birmingham, AL 35244",(205) 985-3208,/biz/kay-jewelers-birmingham-3?osq=shopping,Mountain Brook,AL,35210,
11,Allen Edmonds,$$$$,"[""Men's Clothing"", 'Shoe Stores']",211 Summit Blvd,"Birmingham, AL 35243",(205) 969-4837,/biz/allen-edmonds-birmingham?osq=shopping,Mountain Brook,AL,35210,
12,Steed’s Jewelers,$$$$,"['Jewelry', 'Watch Repair']",1425 Montgomery Hwy,"Birmingham, AL 35216",(205) 822-9173,/biz/steeds-jewelers-birmingham?osq=shopping,Mountain Brook,AL,35210,
13,Architectural Heritage,$$$$,"['Antiques', 'Home & Garden']",200 28th St S,"Birmingham, AL 35233",(205) 322-3538,/biz/architectural-heritage-birmingham?osq=shopping,Mountain Brook,AL,35210,
14,Shaia’s,$$$$,"['Shoe Stores', 'Formal Wear', 'Sewing & Alterations']",2818 18th St S,"Birmingham, AL 35209",(205) 871-1312,/biz/shaias-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
15,Prince Betsy,$$$$,"[""Women's Clothing"", 'Accessories']",608 Brookwood Vlg,"Birmingham, AL 35209",(205) 871-1965,/biz/prince-betsy-birmingham-2?osq=shopping,Mountain Brook,AL,35210,
16,WH Smith Retail,££££,['Bookstores'],Terminal Building,Birmingham B26 3QZ,United Kingdom,0121 767 7891,/biz/wh-smith-retail-birmingham-2?osq=shopping,Mountain Brook,AL,35210
17,The Superior Shop,$$$$,"['Hats', ""Men's Clothing"", 'Accessories']",9164 Pkwy E,"Birmingham, AL 35206",(901) 275-6407,/biz/the-superior-shop-birmingham?osq=shopping,Mountain Brook,AL,35210,
18,Hidden Treasures Jewelry,$$$$,"['Jewelry', 'Couriers & Delivery Services']",1624 Rchrd Arrngtn Jr,"Birmingham, AL 35205",(205) 939-0378,/biz/hidden-treasures-jewelry-birmingham?osq=shopping,Mountain Brook,AL,35210,
1,Dry Clean City,$,"['Dry Cleaning', 'Sewing & Alterations']",,Serving Birmingham and the Surrounding Area,(205) 823-1265,/biz/dry-clean-city-birmingham-3?osq=localservices,Mountain Brook,AL,35210,
2,University Laundromat,$,"['Laundromat', 'Dry Cleaning']",1169 11th Ave S,"Birmingham, AL 35205",(205) 552-9761,/biz/university-laundromat-birmingham?osq=localservices,Mountain Brook,AL,35210,
3,Soapbox Laundromat,$,['Laundromat'],3133 Lorna Rd,"Birmingham, AL 35216",(205) 822-4825,/biz/soapbox-laundromat-birmingham-2?osq=localservices,Mountain Brook,AL,35210,
4,Redemptive Cycles,$,"['Bike Repair/Maintenance', 'Bikes']",1305 2nd Ave N,"Birmingham, AL 35203",(205) 224-5631,/biz/redemptive-cycles-birmingham?osq=localservices,Mountain Brook,AL,35210,
5,Lewie’s Appliance Used Sales & Service,$,"['Appliances & Repair', 'Appliances']",3115 12th Ave N,"Birmingham, AL 35234",(205) 322-1144,/biz/lewies-appliance-used-sales-and-service-birmingham?osq=localservices,Mountain Brook,AL,35210,
6,Legacy Cleaners,$,['Laundry Services'],7350 Cahaba Valley Rd,"Birmingham, AL 35242",(205) 415-2856,/biz/legacy-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
7,EmbroidMe of Birmingham,$,"['Screen Printing/T-Shirt Printing', 'Embroidery & Crochet']",5263 Hwy 280,"Birmingham, AL 35242",(205) 518-6407,/biz/embroidme-of-birmingham-birmingham?osq=localservices,Mountain Brook,AL,35210,
8,Gadget Geeks,$,"['Mobile Phone Repair', 'Mobile Phone Accessories']",,Serving Birmingham and the Surrounding Area,(205) 203-2003,/biz/gadget-geeks-birmingham-2?osq=localservices,Mountain Brook,AL,35210,
9,Historic 4th Avenue Shirts,$,"['Screen Printing/T-Shirt Printing', 'Ice Cream & Frozen Yogurt', 'Shaved Ice']",1703 4th Ave N,"Birmingham, AL 35203",(205) 613-7145,/biz/historic-4th-avenue-shirts-birmingham?osq=localservices,Mountain Brook,AL,35210,
10,Colonnade Cleaners,$,['Laundry Services'],3411 Colonnade Pkwy,"Birmingham, AL 35243",(205) 967-2563,/biz/colonnade-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
11,Zippy’s Errand Services,$,"['Couriers & Delivery Services', 'Food Delivery Services']",,(205) 246-5688,,/biz/zippys-errand-services-tuscaloosa?osq=localservices,Mountain Brook,AL,35210,
12,Imperial Cleaners,$,['Laundry Services'],['(205) 592-6401'],(205) 592-6401,5412 1st Ave N,/biz/imperial-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
13,Plaza Cleaners,$,['Dry Cleaning'],['(205) 969-0513'],(205) 969-0513,3937 Crosshaven Dr,/biz/plaza-cleaners-birmingham-3?osq=localservices,Mountain Brook,AL,35210,
14,Kim’s Cleaners,$,['Laundry Services'],['(205) 985-8810'],(205) 985-8810,2495 Valleydale Rd,/biz/kims-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
15,U-Haul Moving & Storage of Vestavia Hill,$,"['Self Storage', 'Truck Rental', 'Packing Supplies']",['(205) 978-7587'],(205) 978-7587,1420 Montgomery Hwy,/biz/u-haul-moving-and-storage-of-vestavia-hill-vestavia-hills-2?osq=localservices,Mountain Brook,AL,35210,
1,Cahaba Cycles,$$,"['Bikes', 'Bike Repair/Maintenance', 'Bike Rentals']",['(205) 879-3244'],(205) 879-3244,2834 18th St S,/biz/cahaba-cycles-birmingham-5?osq=localservices,Mountain Brook,AL,35210,
2,Bob’s Bikes,$$,"['Bikes', 'Bike Repair/Maintenance', 'Sports Wear']",['(205) 545-7534'],(205) 545-7534,2852 18th St S,/biz/bobs-bikes-homewood?osq=localservices,Mountain Brook,AL,35210,
3,Valley Cleaners,$$,['Dry Cleaning'],['(205) 879-1369'],(205) 879-1369,1625 Oxmoor Rd,/biz/valley-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
4,Spin Cleaners,$$,['Laundry Services'],['(205) 324-1252'],(205) 324-1252,201 Richard Arrington Jr Blvd,/biz/spin-cleaners-birmingham-3?osq=localservices,Mountain Brook,AL,35210,
5,Cahaba Cycles,$$,"['Bikes', 'Bike Rentals', 'Bike Repair/Maintenance']",['(205) 987-4043'],(205) 987-4043,Serving Pelham and the Surrounding Area,/biz/cahaba-cycles-pelham-3?osq=localservices,Mountain Brook,AL,35210,
6,Park Place Cleaners,$$,['Laundry Services'],['(205) 969-1907'],(205) 969-1907,4911 Cahaba River Rd,/biz/park-place-cleaners-birmingham-2?osq=localservices,Mountain Brook,AL,35210,
7,Champion Cleaners,$$,['Dry Cleaning'],['(205) 824-7737'],(205) 824-7737,2548 Rocky Ridge Rd,/biz/champion-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
8,Greystone Cleaners,$$,['Laundry Services'],['(205) 991-3411'],(205) 991-3411,5510 Hwy 280 S,/biz/greystone-cleaners-birmingham?osq=localservices,Mountain Brook,AL,35210,
9,Utopia Cleaners & Laundry,$$,['Laundry Services'],['(205) 969-2350'],(205) 969-2350,3129A Cahaba Heights Rd,/biz/utopia-cleaners-and-laundry-birmingham-2?osq=localservices,Mountain Brook,AL,35210,
10,Cahaba Cycles - Cahaba Heights,$$,"['Bikes', 'Bike Rentals', 'Bike Repair/Maintenance']",['(205) 967-2003'],(205) 967-2003,3179 Cahaba Heights Rd,/biz/cahaba-cycles-cahaba-heights-birmingham-2?osq=localservices,Mountain Brook,AL,35210,
